id,value
id_0,27.832406988
id_1,57.8723007037
id_2,22.3706081306
id_3,28.7427067976
id_4,13.267610035
id_5,28.7427067976
id_6,39.6663045124
id_7,18.7294088924
id_8,46.9487029889
id_9,34.204505655
id_10,38.7560047028
id_11,58.7826005133
id_12,39.6663045124
id_13,34.204505655
id_14,27.832406988
id_15,13.267610035
id_16,55.141401275
id_17,20.5500085115
id_18,16.9088092732
id_19,18.7294088924
id_20,15.0882096541
id_21,25.1015075593
id_22,36.9354050837
id_23,8.71611098713
id_24,58.7826005133
id_25,46.0384031793
id_26,28.7427067976
id_27,10.5367106063
id_28,28.7427067976
id_29,35.1148054645
id_30,16.9088092732
id_31,12.3573102254
id_32,15.9985094637
id_33,5.98521155843
id_34,18.7294088924
id_35,43.3075037506
id_36,23.2809079402
id_37,31.4736062263
id_38,6.895511368
id_39,59.6929003228
id_40,45.1281033698
id_41,18.7294088924
id_42,49.6796024176
id_43,17.8191090828
id_44,45.1281033698
id_45,53.3208016559
id_46,64.2443993707
id_47,37.8457048932
id_48,50.5899022272
id_49,40.5766043219
id_50,31.4736062263
id_51,21.4603083211
id_52,47.8590027985
id_53,28.7427067976
id_54,37.8457048932
id_55,41.4869041315
id_56,26.9221071785
id_57,20.5500085115
id_58,41.4869041315
id_59,34.204505655
id_60,13.267610035
id_61,27.832406988
id_62,30.5633064167
id_63,51.5002020367
id_64,49.6796024176
id_65,28.7427067976
id_66,40.5766043219
id_67,55.141401275
id_68,28.7427067976
id_69,39.6663045124
id_70,62.4237997515
id_71,54.2311014654
id_72,41.4869041315
id_73,12.3573102254
id_74,13.267610035
id_75,35.1148054645
id_76,59.6929003228
id_77,5.98521155843
id_78,48.769302608
id_79,39.6663045124
id_80,7.80581117757
id_81,21.4603083211
id_82,11.4470104158
id_83,37.8457048932
id_84,10.5367106063
id_85,5.07491174887
id_86,16.9088092732
id_87,12.3573102254
id_88,13.267610035
id_89,22.3706081306
id_90,30.5633064167
id_91,12.3573102254
id_92,14.1779098445
id_93,11.4470104158
id_94,34.204505655
id_95,15.0882096541
id_96,14.1779098445
id_97,7.80581117757
id_98,11.4470104158
id_99,5.07491174887
id_100,13.267610035
id_101,20.5500085115
id_102,8.71611098713
id_103,5.07491174887
id_104,17.8191090828
id_105,36.0251052741
id_106,26.0118073689
id_107,11.4470104158
id_108,20.5500085115
id_109,20.5500085115
id_110,11.4470104158
id_111,13.267610035
id_112,14.1779098445
id_113,26.0118073689
id_114,25.1015075593
id_115,15.0882096541
id_116,15.9985094637
id_117,38.7560047028
id_118,27.832406988
id_119,3.25431212974
id_120,4.1646119393
id_121,13.267610035
id_122,15.9985094637
id_123,14.1779098445
id_124,5.98521155843
id_125,26.0118073689
id_126,25.1015075593
id_127,14.1779098445
id_128,16.9088092732
id_129,15.9985094637
id_130,5.07491174887
id_131,35.1148054645
id_132,17.8191090828
id_133,32.3839060358
id_134,26.0118073689
id_135,23.2809079402
id_136,12.3573102254
id_137,20.5500085115
id_138,75.1679970854
id_139,66.9752987994
id_140,29.6530066071
id_141,15.9985094637
id_142,26.0118073689
id_143,8.71611098713
id_144,16.9088092732
id_145,9.6264107967
id_146,20.5500085115
id_147,7.80581117757
id_148,13.267610035
id_149,17.8191090828
id_150,46.0384031793
id_151,15.9985094637
id_152,22.3706081306
id_153,15.0882096541
id_154,18.7294088924
id_155,28.7427067976
id_156,17.8191090828
id_157,35.1148054645
id_158,3.25431212974
id_159,16.9088092732
id_160,37.8457048932
id_161,19.6397087019
id_162,47.8590027985
id_163,18.7294088924
id_164,38.7560047028
id_165,26.9221071785
id_166,19.6397087019
id_167,2.34401232017
id_168,66.9752987994
id_169,18.7294088924
id_170,17.8191090828
id_171,66.0649989898
id_172,21.4603083211
id_173,4.1646119393
id_174,26.0118073689
id_175,2.34401232017
id_176,8.71611098713
id_177,18.7294088924
id_178,22.3706081306
id_179,19.6397087019
id_180,41.4869041315
id_181,33.2942058454
id_182,32.3839060358
id_183,14.1779098445
id_184,9.6264107967
id_185,41.4869041315
id_186,35.1148054645
id_187,31.4736062263
id_188,13.267610035
id_189,23.2809079402
id_190,13.267610035
id_191,14.1779098445
id_192,32.3839060358
id_193,79.7194961333
id_194,32.3839060358
id_195,12.3573102254
id_196,59.6929003228
id_197,18.7294088924
id_198,20.5500085115
id_199,23.2809079402
id_200,124.324186802
id_201,26.0118073689
id_202,58.7826005133
id_203,5.98521155843
id_204,62.4237997515
id_205,33.2942058454
id_206,16.9088092732
id_207,16.9088092732
id_208,64.2443993707
id_209,14.1779098445
id_210,33.2942058454
id_211,70.6164980376
id_212,24.1912077498
id_213,121.593287373
id_214,37.8457048932
id_215,83.3606953715
id_216,87.0018946098
id_217,68.7958984185
id_218,32.3839060358
id_219,24.1912077498
id_220,30.5633064167
id_221,54.2311014654
id_222,28.7427067976
id_223,43.3075037506
id_224,46.9487029889
id_225,6.895511368
id_226,5.07491174887
id_227,67.8855986089
id_228,26.0118073689
id_229,2.34401232017
id_230,37.8457048932
id_231,15.0882096541
id_232,22.3706081306
id_233,5.98521155843
id_234,17.8191090828
id_235,21.4603083211
id_236,15.9985094637
id_237,2.34401232017
id_238,26.0118073689
id_239,2.34401232017
